,Artist,Title,Label
0,The Weeknd,Blinding Lights,1
1,Olivia Rodrigo,Good 4 U,1
2,Olivia Rodrigo,Drivers License,1
3,Lil Nas X,Montero (Call Me By Your Name),1
4,BTS,Butter,1
5,Olivia Rodrigo,Deja Vu,1
6,Ariana Grande,Positions,1
7,Ed Sheeran,Bad Habits,1
8,Luke Combs,Forever After All,1
9,Pop Smoke,What You Know Bout Love,1
10,Billie Eilish,Therefore I Am,1
11,Cardi B,Up,1
12,Lil Baby,On Me,1
13,Olivia Rodrigo,Traitor,1
14,BTS,Dynamite,1
15,Doja Cat,Need To Know,1
16,Taylor Swift,Willow,1
17,Luke Combs,Better Together,1
18,Doja Cat,Streets,1
19,Drake,What's Next,1
20,Roddy Ricch,Late At Night,1
21,Justin Bieber,Anyone,1
22,Ariana Grande,pov,1
23,The Weeknd,Take My Breath,1
24,Billie Eilish,Happier Than Ever,1
25,Adele,Easy On Me,0
26,Taylor Swift,All Too Well (Taylor's Version),0
27,Adele,Oh My God,0
28,Ed Sheeran,Shivers,0
29,Adele,I Drink Wine,0
30,Adele,My Little Love,0
31,Adele,Can I Get It,0
32,Adele,To Be Loved,0
33,Justin Bieber,Ghost,0
34,Adele,Strangers By Nature,0
35,Lil Nas X,Thats What I Want,0
36,Adele,Cry Your Heart Out,0
37,Luke Combs,Cold As You,0
38,Adele,Hold On,0
39,Adele,Woman Like Me,0
40,Adele,Love Is A Game,0
41,Juice WRLD,Already Dead,0
42,Morgan Wallen,Sand In My Boots,0
43,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),0
44,Doja Cat,Woman,0
45,Luke Combs,Doin' This,0
46,Taylor Swift,Red (Taylor's Version),0
47,Taylor Swift,State Of Grace (Taylor's Version),0
48,Travis Scott,Escape Plan,0
49,Jonas Brothers,Who's In Your Head,0
50,BTS,Permission To Dance,0
51,Post Malone,Motley Crew,0
52,Doja Cat,Ain't Shit,0
53,Camila Cabello,Don't Go Yet,0
54,DaBaby,Ball If I Want To,0
55,Olivia Rodrigo,Favorite Crime,0
56,Olivia Rodrigo,Happier,0
57,DaBaby,Red Light Green Light,0
58,Billie Eilish,NDA,0
59,Olivia Rodrigo,Brutal,0
60,Justin Bieber,Off My Face,0
61,Justin Bieber,2 Much,0
62,DaBaby,Masterpiece,0
63,Justin Bieber,Deserve You,0
64,Morgan Wallen,Wasted On You,0
65,Justin Bieber,Somebody,0
66,Ariana Grande,Santa Tell Me,0
67,Lil Nas X,Holiday,0
68,Ed Sheeran,Afterglow,0
69,Eminem,Gnat,0
70,Justin Bieber,Rockin' Around The Christmas Tree,0
71,Carrie Underwood,Favorite Time Of Year,0
72,Sam Smith,Diamonds,0
73,Taylor Swift,Champagne Problems,0
74,Lady A,Champagne Night,0
75,Morgan Wallen,7 Summers,0
76,Taylor Swift,'Tis The Damn Season,0
77,Carrie Underwood,Silent Night,0
78,Harry Styles,Golden,0
79,BTS,Life Goes On,0
80,BTS,Blue & Grey,0
81,Morgan Wallen,More Than My Hometown,0
82,BTS,Stay,0
83,Morgan Wallen,Somebody's Problem,0
84,Harry Styles,Watermelon Sugar,0
85,Morgan Wallen,Still Goin Down,0
86,Shawn Mendes,Wonder,0
87,BTS,Fly To My Room,0
88,BTS,Telepathy,0
89,BTS,Dis-ease,0
90,Miley Cyrus,Midnight Sky,0
91,Morgan Wallen,Livin' The Dream,0
92,Juice WRLD,Wishing Well,0
93,Morgan Wallen,Cover Me Up,0
94,Harry Styles,Adore You,0
95,Post Malone,Circles,0
96,Roddy Ricch,The Box,0
97,Lil Baby,The Bigger Picture,0
98,Juice WRLD,Conversations,0
99,Morgan Wallen,Chasin' You,0
100,Lil Baby,Emotionally Scarred,0
101,Drake,Toosie Slide,0
102,Juice WRLD,Blood On My Jeans,0
103,Juice WRLD,Righteous,0
104,Pop Smoke,Got It On Me,0
105,Juice WRLD,Titanic,0
106,Juice WRLD,Stay High,0
107,Juice WRLD,Bad Energy,0
108,Luke Combs,Lovin' On You,0
109,Pop Smoke,Something Special,0
110,Juice WRLD,Up Up And Away,0
111,Juice WRLD,Fighting Demons,0
112,Juice WRLD,Man Of The Year,0
113,Juice WRLD,Can't Die,0
114,Juice WRLD,Screw Juice,0
115,The Weeknd,Heartless,0
116,Billie Eilish,Everything I Wanted,0
117,Maroon 5,Memories,0
118,The Weeknd,In Your Eyes,0
119,The Weeknd,Alone Again,0
120,The Weeknd,After Hours,0
121,The Weeknd,Scared To Live,0
122,The Weeknd,Hardest To Love,0
123,Lady Gaga,Stupid Love,0
124,The Weeknd,Too Late,0
125,DaBaby,BOP,0
126,The Weeknd,Snowchild,0
127,Halsey,You Should Be Sad,0
128,The Weeknd,Escape From LA,0
129,Lil Baby,Woah,0
130,The Weeknd,Faith,0
131,Pop Smoke,Dior,0
132,Lil Baby,Sum 2 Prove,0
133,The Weeknd,Repeat After Me (Interlude),0
134,Jonas Brothers,What A Man Gotta Do,0
135,The Weeknd,Until I Bleed Out,0
136,Justin Bieber,Yummy,0
137,Sam Smith,To Die For,0
138,Billie Eilish,Bad Guy,0
139,Lil Nas X,Panini,0
140,Travis Scott,HIGHEST IN THE ROOM,0
141,Jonas Brothers,Like It's Christmas,0
142,Taylor Swift,Lover,0
143,Luke Combs,Even Though I'm Leaving,0
144,Halsey,Graveyard,0
145,DaBaby,VIBEZ,0
146,Juice WRLD,Let Me Know (I Wonder Why Freestyle),0
147,Doja Cat,Candy,0
148,Jonas Brothers,Only Human,0
149,Khalid,Talk,0
150,Sam Smith,How Do You Sleep?,0
151,DaBaby,Suge,0
152,Billie Eilish,All The Good Girls Go To Hell,0
153,Kanye West,Follow God,0
154,Jonas Brothers,Sucker,0
155,Shawn Mendes,If I Can't Have You,0
156,Taylor Swift,You Need To Calm Down,0
157,Post Malone,Wow.,0
158,Halsey,Without Me,0
159,Luke Combs,Beer Never Broke My Heart,0
160,Katy Perry,Never Really Over,0
161,Ariana Grande,7 Rings,0
162,Morgan Wallen,Whiskey Glasses,0
163,Khalid,Better,0
164,Travis Scott,Sicko Mode,0
165,Cardi B,Press,0
166,Taylor Swift,The Archer,0
167,Halsey,Nightmare,0
168,Jonas Brothers,Cool,0
169,Beyonce,Before I Let Go,0
170,Carrie Underwood,Southbound,0
171,Nicki Minaj,MEGATRON,0
172,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",0
173,Ariana Grande,"Thank U, Next",0
174,Luke Combs,Beautiful Crazy,0
175,Cardi B,Money,0
176,Post Malone,Better Now,0
177,Juice WRLD,Robbery,0
178,Billie Eilish,Bury A Friend,0
179,Juice WRLD,Lucid Dreams,0
180,Imagine Dragons,Bad Liar,0
181,Lil Baby,Close Friends,0
182,P!nk,Walk Me Home,0
183,Lil Baby,Pure Cocaine,0
184,Billie Eilish,Wish You Were Gay,0
185,Juice WRLD,Hear Me Calling,0
186,Chris Brown,Undecided,0
187,Juice WRLD,Empty,0
188,Carrie Underwood,Love Wins,0
189,Ariana Grande,Breathin,0
190,Imagine Dragons,Natural,0
191,Katy Perry,Cozy Little Christmas,0
192,Luke Combs,She Got The Best Of Me,0
193,Lil Wayne,Uproar,0
194,XXXTENTACION,BAD!,0
195,Ariana Grande,Imagine,0
196,Camila Cabello,Consequences,0
197,Juice WRLD,Armed And Dangerous,0
198,Billie Eilish,When The Party's Over,0
199,Drake,In My Feelings,0
200,Ariana Grande,God Is A Woman,0
201,Drake,Nonstop,0
202,XXXTENTACION,Sad!,0
203,Billie Eilish,Ocean Eyes,0
204,Drake,Nice For What,0
205,Ariana Grande,No Tears Left To Cry,0
206,Taylor Swift,Delicate,0
207,Drake,God's Plan,0
208,Ed Sheeran,Perfect,0
209,Shawn Mendes,In My Blood,0
210,Camila Cabello,Never Be The Same,0
211,Imagine Dragons,Whatever It Takes,0
212,Drake,I'm Upset,0
213,XXXTENTACION,Moonlight,0
214,Cardi B,Be Careful,0
215,Luke Combs,One Number Away,0
216,XXXTENTACION,Changes,0
217,Drake,Mob Ties,0
218,Juice WRLD,All Girls Are The Same,0
219,Carrie Underwood,Cry Pretty,0
220,twenty one pilots,Jumpsuit,0
221,The Weeknd,Call Out My Name,0
222,Kanye West,All Mine,0
223,Billie Eilish,You Should See Me In A Crown,0
224,Drake,Emotionless,0
225,Drake,Can't Take A Joke,0
226,Imagine Dragons,Thunder,0
227,Maroon 5,Wait,0
228,Post Malone,I Fall Apart,0
